name,rating,price_factor
Sundar Cafe,3.8,1.0
Himalaya Bistro,3.9,1.2
Everest Lounge,3.8,1.5
Garden Delights,3.9,1.6
Sunrise Cafe,4.6,1.7
The Green Leaf,3.7,1.7
Pahadi Cafe,4.0,1.8
Mountain View Cafe,4.2,1.9
Kaffe Nirvana,3.6,1.9
The Rustic Spoon,4.7,2.1
Royal Taste,3.7,2.2
Nepal Coffee House,3.7,2.3
Chai Sathi,4.8,2.5
The Aroma,3.5,2.6
The Cozy Corner,4.9,2.7
Taste of Kathmandu,4.1,2.8
Momo House,4.9,2.8
Spice Garden,4.3,2.9
Heritage Cafe,4.1,3.0
Bistro Bliss,3.7,3.2
The Himalayan Delight,3.6,3.4
The Local Eatery,4.4,3.5
Café Shanti,3.8,3.6
Cafe Nirvana,4.5,3.8
The Serene Spoon,4.7,3.8
Nepali Bites,4.4,3.9
Urban Palate,4.7,4.0
Café Kathmandu,3.7,4.5
Tranquil Tastes,3.9,4.6
Chiya Ghar,4.7,5