hotel_name,tier,image
Budget Inn,Budget,budgethotel1.jpg
Simple Stay,Budget,budgethotel2.jpeg
Economy Lodge,Budget,budgethotel1.jpg
Urban Budget Hotel,Budget,budgethotel3.jpg
Easy Rest Hotel,Budget,budgethotel1.jpg
City View Inn,Budget,budgethotel3.jpg
Traveler's Spot,Budget,budgethotel1.jpg
Himalayan Stay,Budget,budgethotel2.jpeg
Heritage Guesthouse,Budget,budgethotel1.jpg
Valley Lodge,Budget,budgethotel2.jpeg
Comfort Stay,Mid-Range,midhotel1.jpg
Green View Hotel,Mid-Range,midhotel2.jpg
City Escape,Mid-Range,midhotel1.jpg
Mountain Retreat,Mid-Range,midhotel2.jpg
Royal Comforts,Mid-Range,midhotel3.jpg
Elite Stay,Mid-Range,midhotel1.jpg
Luxury Nest,Mid-Range,midhotel1.jpg
The Serenity Hotel,Mid-Range,midhotel1.jpg
Skyline View Hotel,Mid-Range,midhotel2.jpg
Majestic Retreat,Mid-Range,midhotel2.jpg
Himalayan Horizon,Mid-Range,midhotel3.jpg
Blue Sky Inn,Mid-Range,midhotel2.jpg
Tranquil Heights,Mid-Range,midhotel3.jpg
Lakeside Inn,Mid-Range,midhotel1.jpg
Vista Lodge,Mid-Range,midhotel1.jpg
Urban Comfort,Mid-Range,midhotel2.jpg
Nepal's Nest,Mid-Range,midhotel2.jpg
Everest Base Stay,Mid-Range,midhotel2.jpg
Kathmandu Kottage,Mid-Range,midhotel3.jpg
Peaceful Abode,Mid-Range,midhotel1.jpg
Platinum Stay,Premium,premiumhotel1.jpg
Infinity Hotel,Premium,premiumhotel2.jpg
Diamond Resort,Premium,premiumhotel3.jpg
Grand Royale,Premium,premiumhotel2.jpg
The Royal Crown,Premium,premiumhotel1.jpg
Golden Peak Hotel,Premium,premiumhotel1.jpg
Luxury Valley Retreat,Premium,premiumhotel3.jpg
Sky High Resort,Premium,premiumhotel3.jpg
Ethereal Suites,Premium,premiumhotel2.jpg
Paradise Heights,Premium,premiumhotel2.jpg